number,id,place,sleep,sport,experience,effect,hygiene,outside,videogame,gamesay,study,social,nap,cluster,dormitory,password
0,190001,1,1,2,1,2,1,2,2,2,2,3,2,134,610,123456
1,190002,1,1,1,1,1,1,2,3,2,1,1,1,134,610,123456
2,190003,2,2,3,1,3,2,2,1,2,3,2,2,25,201,123456
3,190004,2,2,4,1,1,3,2,1,2,1,3,1,61,312,123456
4,190005,1,2,3,1,3,2,1,1,2,2,3,1,78,404,123456
5,190006,2,2,3,1,1,1,1,2,1,3,1,1,78,404,123456
6,190007,1,1,3,2,3,1,2,1,2,2,2,1,43,219,123456
7,190008,2,2,3,1,2,1,1,1,1,1,3,2,78,404,123456
8,190009,2,2,3,2,3,3,2,3,2,3,1,2,174,725,123456
9,190010,2,2,4,2,1,4,2,2,2,3,3,2,174,725,123456
10,190011,2,1,1,2,3,2,2,2,1,3,1,2,43,219,123456
11,190012,2,2,3,1,3,1,1,2,2,3,3,2,78,404,123456
12,190013,1,2,4,1,3,1,2,3,1,1,2,1,134,610,123456
13,190014,2,1,4,1,3,2,2,2,2,1,3,2,61,312,123456
14,190015,2,2,4,2,2,4,1,1,1,3,3,2,0,101,123456
15,190016,2,2,1,2,1,3,1,3,1,1,1,1,113,514,123456
16,190017,2,2,4,2,3,4,1,3,2,2,2,2,0,101,123456
17,190018,2,1,3,1,1,3,2,3,1,1,1,1,61,312,123456
18,190019,1,2,4,1,2,4,2,2,2,3,1,2,25,201,123456
19,190020,2,2,2,1,3,2,1,3,2,1,3,2,78,404,123456
20,190021,1,2,1,1,2,1,1,1,1,1,3,1,79,405,123456
21,190022,2,1,2,2,1,3,1,1,1,1,1,2,113,514,123456
22,190023,1,2,3,1,3,3,1,1,2,3,3,1,79,405,123456
23,190024,2,2,3,1,1,3,1,2,2,1,3,2,79,405,123456
24,190025,2,2,3,2,3,1,1,3,1,1,1,2,113,514,123456
25,190026,1,2,4,1,1,4,1,3,1,3,1,1,148,624,123456
26,190027,1,2,3,1,1,2,2,1,2,3,1,1,25,201,123456
27,190028,1,2,1,1,2,2,1,3,1,1,2,2,79,405,123456
28,190029,2,2,1,2,1,2,1,2,2,2,2,2,113,514,123456
29,190030,2,1,1,2,3,2,1,2,2,2,1,2,113,514,123456
30,190031,2,2,3,2,1,3,2,1,2,3,2,2,174,725,123456
31,190032,2,2,4,1,1,2,1,2,1,2,2,1,79,405,123456
32,190033,2,2,1,1,1,4,1,3,1,1,2,2,148,624,123456
33,190034,2,2,4,2,3,4,1,3,2,1,1,2,0,101,123456
34,190035,2,2,1,2,2,2,1,1,2,1,3,1,0,101,123456
35,190036,2,2,4,2,3,4,1,2,2,3,1,1,0,101,123456
36,190037,2,2,2,2,3,4,2,1,2,2,2,2,174,725,123456
37,190038,1,1,2,1,1,4,2,2,2,3,3,2,134,610,123456
38,190039,2,2,2,1,3,1,2,1,2,1,1,1,25,201,123456
39,190040,1,2,1,2,2,3,2,2,2,2,3,1,174,725,123456
40,190041,1,2,3,1,3,1,2,1,2,2,3,2,134,610,123456
41,190042,2,2,1,2,3,1,2,3,2,3,2,1,175,801,123456
42,190043,2,2,4,2,1,1,2,3,2,1,1,1,175,801,123456
43,190044,2,1,2,2,1,4,1,3,1,3,2,2,13,114,123456
44,190045,2,2,2,1,2,4,1,3,1,1,1,2,148,624,123456
45,190046,2,1,4,1,1,3,2,3,2,3,3,2,61,312,123456
46,190047,2,2,1,2,3,4,1,1,1,2,2,2,1,102,123456
47,190048,2,2,1,1,1,2,1,2,1,2,3,2,80,406,123456
48,190049,2,2,1,1,2,2,1,1,1,2,3,2,80,406,123456
49,190050,2,2,4,1,2,3,2,3,1,1,2,1,61,312,123456
50,190051,1,2,2,1,2,2,2,3,2,1,3,1,135,611,123456
51,190052,2,1,4,2,3,2,2,1,1,2,1,1,43,219,123456
52,190053,1,2,2,1,2,1,1,1,2,3,3,2,80,406,123456
53,190054,2,2,3,1,1,1,1,1,1,1,3,2,80,406,123456
54,190055,2,2,3,2,2,4,1,1,1,2,3,1,1,102,123456
55,190056,2,1,2,2,1,2,1,1,1,1,3,2,13,114,123456
56,190057,1,1,1,1,3,2,1,3,2,1,1,2,80,406,123456
57,190058,2,2,2,1,2,2,1,1,2,1,2,2,81,407,123456
58,190059,2,2,3,2,3,2,1,2,1,3,1,2,114,515,123456
59,190060,2,1,3,2,3,3,1,3,1,3,1,1,114,515,123456
60,190061,2,2,4,1,2,1,1,3,2,1,1,2,81,407,123456
61,190062,2,2,3,1,3,4,2,2,2,2,2,2,62,313,123456
62,190063,2,2,4,1,1,2,2,1,1,2,3,1,62,313,123456
63,190064,2,2,3,1,3,2,2,2,2,2,3,1,62,313,123456
64,190065,2,2,1,1,1,3,1,2,1,1,2,2,148,624,123456
65,190066,2,1,1,1,3,1,2,1,2,2,2,1,25,201,123456
66,190067,2,2,3,1,2,2,1,2,1,2,3,1,81,407,123456
67,190068,2,2,2,1,3,3,2,3,2,3,1,2,26,202,123456
68,190069,2,1,3,1,3,3,1,1,2,2,3,2,81,407,123456
69,190070,2,1,2,1,3,4,1,1,1,3,3,1,148,624,123456
70,190071,2,2,4,1,3,4,2,1,1,3,2,2,26,202,123456
71,190072,2,2,2,1,1,4,1,1,1,1,2,1,149,625,123456
72,190073,2,1,2,1,3,3,2,2,2,1,2,2,62,313,123456
73,190074,2,2,1,1,2,1,2,2,2,2,1,1,26,202,123456
74,190075,2,2,3,1,1,3,2,1,1,2,2,2,62,313,123456
75,190076,2,2,1,1,1,3,1,1,1,1,1,1,149,625,123456
76,190077,2,1,2,1,3,4,1,1,1,3,1,1,149,625,123456
77,190078,2,1,4,1,2,2,1,2,1,1,2,1,81,407,123456
78,190079,2,1,2,1,1,3,1,1,1,1,1,2,149,625,123456
79,190080,2,2,1,1,2,1,2,3,2,2,1,1,26,202,123456
80,190081,2,2,1,1,1,2,1,3,1,2,2,2,82,408,123456
81,190082,2,2,1,1,1,3,1,3,1,1,2,1,149,625,123456
82,190083,2,2,3,1,1,4,1,3,2,3,3,2,150,701,123456
83,190084,2,1,1,1,3,1,1,1,1,3,2,1,82,408,123456
84,190085,2,1,2,1,1,2,2,3,1,1,2,2,63,314,123456
85,190086,2,2,4,1,2,4,1,3,1,2,1,1,150,701,123456
86,190087,2,1,1,1,2,1,1,1,2,2,1,2,82,408,123456
87,190088,2,1,4,2,2,1,1,2,1,1,3,1,114,515,123456
88,190089,2,2,2,1,2,2,1,1,2,1,2,2,82,408,123456
89,190090,2,2,3,1,3,4,1,3,1,2,1,1,150,701,123456
90,190091,2,1,1,2,1,3,2,3,2,3,3,2,43,219,123456
91,190092,2,1,3,1,3,3,2,2,2,2,1,1,26,202,123456
92,190093,2,1,4,1,3,4,1,2,1,1,3,1,150,701,123456
93,190094,2,2,3,1,2,1,1,3,1,2,2,1,82,408,123456
94,190095,2,2,2,2,1,1,1,2,1,3,3,1,114,515,123456
95,190096,2,1,1,1,2,1,1,1,2,3,1,2,83,409,123456
96,190097,2,2,3,1,1,4,2,3,1,3,3,1,63,314,123456
97,190098,2,2,2,1,3,4,1,3,1,2,1,1,150,701,123456
98,190099,2,2,3,1,1,1,1,3,1,3,1,1,83,409,123456
99,190100,2,2,2,1,1,4,1,3,1,2,1,1,151,702,123456
100,190101,2,2,2,1,2,4,2,1,2,2,2,2,63,314,123456
101,190102,1,1,4,1,3,3,1,1,1,1,2,2,83,409,123456
102,190103,2,1,3,1,2,4,1,3,2,2,3,1,151,702,123456
103,190104,2,2,4,1,1,2,2,3,2,2,3,2,63,314,123456
104,190105,1,2,4,1,2,2,1,2,1,1,2,1,83,409,123456
105,190106,2,2,1,1,2,2,1,3,1,2,1,1,151,702,123456
106,190107,2,1,4,1,3,1,1,3,2,1,1,1,83,409,123456
107,190108,2,1,3,1,3,2,2,3,2,1,1,1,27,203,123456
108,190109,2,2,3,1,1,2,1,1,1,3,3,2,84,410,123456
109,190110,1,1,3,1,3,1,1,3,1,1,3,1,84,410,123456
110,190111,2,2,4,1,2,3,1,1,1,2,3,2,84,410,123456
111,190112,2,2,1,2,2,1,2,3,2,1,1,2,175,801,123456
112,190113,1,1,1,1,3,4,1,3,2,3,1,1,151,702,123456
113,190114,1,1,2,1,2,4,1,2,1,2,2,1,151,702,123456
114,190115,2,2,3,1,1,4,1,3,2,2,1,1,152,703,123456
115,190116,2,2,4,1,2,2,1,3,1,1,3,1,84,410,123456
116,190117,1,1,1,1,3,4,1,2,2,2,3,1,152,703,123456
117,190118,1,1,2,1,3,2,2,1,2,3,2,1,27,203,123456
118,190119,2,2,2,1,2,1,1,1,2,1,1,2,84,410,123456
119,190120,2,1,1,1,3,2,1,1,1,3,2,1,85,411,123456
120,190121,2,2,2,1,2,1,2,3,1,2,1,2,27,203,123456
121,190122,1,2,1,1,1,2,2,3,2,1,3,2,135,611,123456
122,190123,2,2,2,2,2,3,1,1,2,3,1,1,1,102,123456
123,190124,2,2,2,1,1,4,1,3,1,1,2,1,152,703,123456
124,190125,2,2,2,1,1,3,2,2,2,1,3,2,63,314,123456
125,190126,2,1,2,1,3,2,1,1,2,1,3,2,85,411,123456
126,190127,2,1,1,1,2,3,1,2,1,2,1,2,152,703,123456
127,190128,2,1,4,1,2,4,2,1,1,3,2,1,27,203,123456
128,190129,1,2,4,1,2,4,2,3,2,3,3,2,64,315,123456
129,190130,2,2,4,1,3,1,1,3,1,3,2,1,85,411,123456
130,190131,2,2,2,1,2,2,1,3,1,2,1,1,152,703,123456
131,190132,1,1,2,1,2,3,1,1,1,1,1,2,153,704,123456
132,190133,1,1,2,2,1,3,1,1,2,3,1,1,114,515,123456
133,190134,2,2,4,1,1,1,1,2,2,1,3,1,85,411,123456
134,190135,2,2,3,1,2,4,1,3,2,1,3,1,153,704,123456
135,190136,2,2,4,1,1,4,1,2,1,3,3,2,153,704,123456
136,190137,1,2,4,2,2,1,1,1,1,1,1,2,115,516,123456
137,190138,2,2,3,1,3,4,1,2,1,1,3,1,153,704,123456
138,190139,2,1,4,2,3,2,2,2,2,2,1,2,43,219,123456
139,190140,1,2,2,1,1,4,1,3,2,1,1,1,153,704,123456
140,190141,1,2,2,2,1,2,1,3,2,1,1,1,115,516,123456
141,190142,2,2,2,1,2,4,2,1,2,1,3,1,64,315,123456
142,190143,1,1,4,1,1,2,2,2,2,1,2,2,135,611,123456
143,190144,2,1,3,1,2,1,2,2,2,2,2,2,27,203,123456
144,190145,1,2,4,1,3,2,1,1,2,3,1,1,85,411,123456
145,190146,2,2,4,1,1,3,1,1,1,2,1,2,154,705,123456
146,190147,2,1,1,1,2,4,1,2,1,3,2,2,154,705,123456
147,190148,2,1,4,1,3,3,2,2,2,3,1,1,28,204,123456
148,190149,1,2,4,1,1,4,2,1,2,2,2,1,28,204,123456
149,190150,2,2,1,1,1,2,1,1,1,2,3,1,86,412,123456
150,190151,1,1,2,1,3,4,2,2,2,3,1,2,28,204,123456
151,190152,2,1,2,1,2,4,2,2,2,2,1,1,28,204,123456
152,190153,2,1,4,1,2,1,1,3,2,3,2,2,86,412,123456
153,190154,1,2,1,1,2,4,1,1,1,3,1,2,154,705,123456
154,190155,2,2,2,1,2,3,1,2,2,1,1,1,154,705,123456
155,190156,1,1,4,1,3,4,1,2,2,1,3,1,154,705,123456
156,190157,2,2,2,1,2,3,1,3,1,1,2,2,155,706,123456
157,190158,1,1,4,1,3,1,1,1,2,2,1,1,86,412,123456
158,190159,2,1,3,2,1,1,1,1,1,2,3,1,115,516,123456
159,190160,2,1,1,1,1,4,2,2,2,3,2,1,64,315,123456
160,190161,2,2,1,1,3,1,1,2,1,2,1,2,86,412,123456
161,190162,2,2,2,1,1,2,2,3,2,2,2,1,64,315,123456
162,190163,2,2,2,1,2,4,2,2,2,2,2,2,64,315,123456
163,190164,2,2,4,1,1,4,1,3,2,1,2,1,155,706,123456
164,190165,1,2,1,1,3,4,1,3,1,2,1,2,155,706,123456
165,190166,1,2,2,1,1,4,2,1,1,3,2,1,135,611,123456
166,190167,1,1,4,1,2,1,2,1,2,3,1,1,28,204,123456
167,190168,1,2,1,2,2,4,2,2,1,3,1,2,175,801,123456
168,190169,1,1,1,2,3,4,1,1,1,3,1,2,13,114,123456
169,190170,2,2,1,1,3,3,1,1,1,1,1,1,155,706,123456
170,190171,1,2,2,1,3,2,1,1,1,2,1,2,86,412,123456
171,190172,2,1,2,1,2,2,1,2,1,2,1,2,87,413,123456
172,190173,1,1,4,1,1,3,1,3,2,1,2,2,155,706,123456
173,190174,1,2,1,2,2,4,1,3,1,1,2,1,1,102,123456
174,190175,2,2,1,2,2,2,1,1,1,2,2,1,115,516,123456
175,190176,2,2,2,1,2,1,1,1,1,2,1,1,87,413,123456
176,190177,2,2,2,1,3,1,1,3,1,3,1,1,87,413,123456
177,190178,1,2,3,1,2,4,1,1,1,2,1,2,156,707,123456
178,190179,2,2,1,2,3,2,2,3,1,2,2,1,175,801,123456
179,190180,2,1,4,1,1,4,2,1,1,1,2,1,65,316,123456
180,190181,2,1,3,1,2,3,1,3,2,1,2,1,156,707,123456
181,190182,2,2,3,1,1,4,2,1,2,3,1,2,29,205,123456
182,190183,1,1,1,1,1,3,1,1,1,3,1,2,156,707,123456
183,190184,2,2,3,2,2,3,1,1,2,3,2,1,1,102,123456
184,190185,1,1,3,1,3,2,1,2,1,3,3,1,87,413,123456
185,190186,1,1,3,1,3,4,2,3,2,3,2,1,29,205,123456
186,190187,2,1,4,2,2,4,2,1,1,2,3,2,44,220,123456
187,190188,2,2,2,1,1,4,1,2,1,2,3,1,156,707,123456
188,190189,2,2,4,1,2,4,1,3,2,1,2,1,156,707,123456
189,190190,1,1,4,1,1,2,1,2,2,3,2,1,87,413,123456
190,190191,1,2,1,2,2,1,2,2,1,1,2,1,176,802,123456
191,190192,2,2,3,2,3,2,1,3,2,1,2,1,2,103,123456
192,190193,1,2,2,2,2,4,1,2,2,2,2,2,2,103,123456
193,190194,2,2,1,2,2,2,1,1,2,3,1,2,115,516,123456
194,190195,2,2,4,1,3,3,1,3,1,1,2,1,157,708,123456
195,190196,2,2,4,1,3,2,1,1,1,3,3,2,88,414,123456
196,190197,1,1,2,1,1,1,1,3,1,1,1,1,88,414,123456
197,190198,1,1,2,2,1,1,2,3,1,2,3,2,44,220,123456
198,190199,1,1,4,2,3,3,2,2,1,2,2,2,44,220,123456
199,190200,2,2,4,2,2,2,2,3,1,3,2,1,176,802,123456
200,190201,1,2,2,1,2,4,1,3,2,2,1,2,157,708,123456
201,190202,2,1,2,1,1,3,1,2,2,3,3,2,88,414,123456
202,190203,2,1,4,1,3,4,1,1,2,1,1,1,157,708,123456
203,190204,1,2,2,2,3,2,1,1,2,2,1,2,2,103,123456
